,eff_congruent,eff_incongruent,eff_incongruent-congruent,eff_task,vif_congruent,vif_incongruent,vif_incongruent-congruent,vif_task,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,pred_second_half_from_first
73090,2.270771272891436,2.298555790679036,3.313324535981044,2.760414151103906,2.309846356670357,2.2071019913384378,1.0587112162914465,2.371803798910162,357.4369588254637,12.5,0.467741935483871,14.7774,0.5254237288135594,0.5483870967741935,0.0
33411,2.299693947596416,2.241817414564695,3.256859247619808,2.74957557646701,2.251205453405888,2.2580837378134024,1.055418651579444,2.411707643825713,355.6485417544605,20.0,0.459016393442623,11.253999999999996,0.5166666666666667,0.5666666666666667,0.0
49630,2.3140245734549105,2.5484411693233437,3.6327509645979177,2.9116000703400937,2.2691262782319783,2.2569908530851133,1.0258275238790693,2.3804678438279505,353.38704962881974,16.0,0.4677419354838709,14.477000000000004,0.5166666666666667,0.5806451612903226,0.0
59047,2.3337272154082687,2.31892322360066,3.376014170839108,2.8104489261478784,2.232988159607701,2.305768522759093,1.0673636639231754,2.370410906725363,358.42369442181945,18.0,0.4426229508196722,14.728999999999996,0.5166666666666667,0.5666666666666667,0.0
6312,2.2064303640475806,2.4301730780645694,3.401778436600803,2.78655495333321,2.2607328088910448,2.314086839700716,1.053247562322241,2.428756935482974,356.07246598572965,22.0,0.459016393442623,13.1522,0.5166666666666667,0.5666666666666667,0.0
329,2.1429607917292177,2.4160751839693053,3.3671959673752587,2.7320650396908963,2.3350990008894605,2.209884319130551,1.039717885977862,2.425859050930984,358.0598413667609,10.5,0.467741935483871,10.243799999999998,0.5166666666666667,0.5806451612903226,0.0
24299,2.300912184829296,2.226151230015426,3.456918502821974,2.705706270830158,2.3009192415087565,2.350221871522212,1.0375305596598658,2.463486552543792,358.6543666063077,20.0,0.4516129032258064,14.182399999999998,0.5166666666666667,0.5666666666666667,0.0
68209,2.325816345045146,2.4565833072612278,3.3924543989192686,2.9000634250460378,2.245087595044142,2.1948141738731075,1.0698523851248052,2.273278354409735,357.5334087990029,14.5,0.4666666666666667,12.1086,0.5084745762711864,0.5333333333333333,0.0
31794,2.342949635935971,2.3442194768009577,3.3164196133043573,2.846453864510753,2.2446969362642144,2.188135985128957,1.054716181969219,2.3621258878698868,357.1274188231074,15.0,0.4761904761904761,12.433599999999998,0.5254237288135594,0.5483870967741935,0.0
15422,2.3378471434996158,2.2558542709744533,3.399115466051065,2.7626678398484867,2.236569758399036,2.3432496037601225,1.0503461728528418,2.414832879538097,357.1894984253198,12.0,0.4754098360655738,11.436199999999998,0.5166666666666667,0.5333333333333333,0.0
